run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
saits/ettm1/mr0.3/seed42,saits,ettm1,0.3,42,0.2311415042418385,0.1109264591387457,0.33305624020388164,0.2730004998131151,output/imputation/cuda/paper_campaign/saits/ettm1/mr0.3/seed42/metrics/saits_metrics.json
saits/ettm1/mr0.3/seed456,saits,ettm1,0.3,456,0.24805114577952825,0.13014208580836778,0.36075211130133084,0.2921594288727204,output/imputation/cuda/paper_campaign/saits/ettm1/mr0.3/seed456/metrics/saits_metrics.json
saits/ettm1/mr0.5/seed123,saits,ettm1,0.5,123,0.27114696271997374,0.15560720012859608,0.39447078488602433,0.31797684500466145,output/imputation/cuda/paper_campaign/saits/ettm1/mr0.5/seed123/metrics/saits_metrics.json
saits/ettm1/mr0.5/seed42,saits,ettm1,0.5,42,0.26412005488374374,0.14182249794887408,0.3765932792136287,0.3120027134677146,output/imputation/cuda/paper_campaign/saits/ettm1/mr0.5/seed42/metrics/saits_metrics.json
saits/ettm1/mr0.5/seed456,saits,ettm1,0.5,456,0.2774684338546506,0.15910379648627027,0.3988781724866256,0.32686183637427185,output/imputation/cuda/paper_campaign/saits/ettm1/mr0.5/seed456/metrics/saits_metrics.json
saits/household_power/mr0.1/seed123,saits,household_power,0.1,123,0.13851760596509385,0.12376698705132427,0.3518053255016534,0.1909916126095045,output/imputation/cuda/paper_campaign/saits/household_power/mr0.1/seed123/metrics/saits_metrics.json
saits/household_power/mr0.1/seed42,saits,household_power,0.1,42,0.13704722177271114,0.12436071913089519,0.35264815203102257,0.18866309993444597,output/imputation/cuda/paper_campaign/saits/household_power/mr0.1/seed42/metrics/saits_metrics.json
saits/household_power/mr0.1/seed456,saits,household_power,0.1,456,0.14302457670128052,0.13115476073191487,0.3621529521237054,0.19668230129556824,output/imputation/cuda/paper_campaign/saits/household_power/mr0.1/seed456/metrics/saits_metrics.json
saits/household_power/mr0.3/seed123,saits,household_power,0.3,123,0.16181641810927835,0.16295029598141564,0.40367102445111863,0.22300988037505207,output/imputation/cuda/paper_campaign/saits/household_power/mr0.3/seed123/metrics/saits_metrics.json
saits/household_power/mr0.3/seed42,saits,household_power,0.3,42,0.15703178291491773,0.15884138869650188,0.3985491044984318,0.2162935017453251,output/imputation/cuda/paper_campaign/saits/household_power/mr0.3/seed42/metrics/saits_metrics.json
